,resampler,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc
XGB+SMOTE (champion baseline),SMOTE,0.21,0.7426666666666667,0.43029259896729777,0.819672131147541,0.5643340857787811,0.8688977296110844,0.7310869126987221
XGB+SMOTE (with FE),SMOTE,0.21,0.7426666666666667,0.43029259896729777,0.819672131147541,0.5643340857787811,0.8688977296110844,0.7310869126987221
CatBoost+SMOTETomek (with FE),SMOTETomek,0.2,0.7546666666666667,0.44404973357015987,0.819672131147541,0.576036866359447,0.8684834350778516,0.7277912654955028
LightGBM+SMOTETomek (with FE),SMOTETomek,0.26,0.7866666666666666,0.4847250509164969,0.780327868852459,0.5979899497487438,0.8624254064064751,0.7212760809081901
XGB+SMOTETomek (with FE),SMOTETomek,0.22,0.7573333333333333,0.44626593806921677,0.8032786885245902,0.5737704918032787,0.8646587557445642,0.7199964666518656
CatBoost+SMOTEENN (with FE),SMOTEENN,0.17,0.7133333333333334,0.4,0.819672131147541,0.5376344086021505,0.8606036079292132,0.7104287070549273
XGB+SMOTEENN (with FE),SMOTEENN,0.15,0.6993333333333334,0.3890577507598784,0.839344262295082,0.5316718587746625,0.8586610878661087,0.7006499954461696
